_date,time,preclose,high,low,match,open,volume,turnover,matchitems,,
1995/9/4,1995/9/4,728.84,765.99,729.05,751.07,731.41,1862004200,11758300000,0,,
1995/9/11,1995/9/11,751.07,790.16,749.97,755.93,757.47,1924170800,12456100000,0,,
1995/9/18,1995/9/18,755.93,761.69,721.42,730,757.87,1004130200,7028900000,0,,
1995/9/25,1995/9/25,730,730,699.57,722.42,730,883375200,5233700000,0,,
1995/10/4,1995/10/4,722.42,729.23,715.72,719.96,723.84,456570200,2889100000,0,,
1995/10/9,1995/10/9,719.96,719.92,693.99,702.97,717.99,1989623900,14579200000,0,,
1995/10/16,1995/10/16,702.97,726.28,696.94,726.28,702.13,1649961400,12982100000,0,,
1995/10/23,1995/10/23,726.28,764.73,718.51,722.36,729.74,2499568600,16170100000,0,,
1995/10/30,1995/10/30,722.36,728.15,712.46,720.78,722.85,1033199300,11775108000,0,,
1995/11/6,1995/11/6,720.78,736.9,701.77,708.75,729.03,1044320100,7141000000,0,,
1995/11/13,1995/11/13,708.75,705.9,675.25,676.19,705.88,739248200,6042200000,0,,
1995/11/20,1995/11/20,676.19,679.29,654.82,659.37,671.56,429959900,3479900000,0,,
1995/11/27,1995/11/27,659.37,658.3,625.24,633.81,658.08,437871000,2958700000,0,,
1995/12/4,1995/12/4,633.81,643.07,627.09,636.78,632.72,344872600,2608700000,0,,
1995/12/11,1995/12/11,636.78,639.17,601.61,603.89,636.47,584698600,4163400000,0,,
1995/12/18,1995/12/18,603.89,606.6,590.93,594.23,600.65,376598400,2764700000,0,,
1995/12/25,1995/12/25,594.23,590.75,552.86,555.28,590.75,369484900,2230700000,0,,
1996/1/2,1996/1/2,555.28,561.3,530.82,536.36,549.47,349649300,2177100000,0,,
1996/1/8,1996/1/8,536.36,559.41,528.1,547.11,533.32,624531000,4437400000,0,,
1996/1/15,1996/1/15,547.11,554.78,512.93,523.5,544.97,488327600,3225700000,0,,
1996/1/22,1996/1/22,523.5,538.69,514.29,525.57,519.87,529060900,3826600000,0,,
1996/1/29,1996/1/29,525.57,538.09,525.59,536.03,526.19,617009100,3552400000,0,,
1996/2/5,1996/2/5,536.03,537.22,518.3,525.41,537.22,337722800,2154800000,0,,
1996/2/12,1996/2/12,525.41,553.61,522.18,552.93,525.4,403508600,2138600000,0,,
1996/3/4,1996/3/4,552.93,605.87,558.56,573.13,583.37,1378419100,8017000000,0,,
1996/3/11,1996/3/11,573.13,575.44,556.4,562.39,574.25,417313500,2729400000,0,,
1996/3/18,1996/3/18,562.39,573.82,561.22,570.18,561.81,454965100,2901300000,0,,
1996/3/25,1996/3/25,570.18,572.73,549.92,556.39,570.78,448213100,2613000000,0,,
1996/4/1,1996/4/1,556.39,583.88,556.37,582.53,566.21,422567900,2254700000,0,,
1996/4/8,1996/4/8,582.53,593.63,576.68,586.95,583.71,631005600,4362700000,0,,
1996/4/15,1996/4/15,586.95,618.11,583.31,618.11,585.94,969996500,5919100000,0,,
1996/4/22,1996/4/22,618.11,714.32,610.1,707.6,624.92,3213830900,23704700000,0,,
1996/4/29,1996/4/29,707.6,739.17,653.68,650.03,702.56,2403862000,18757600000,0,,
1996/5/6,1996/5/6,650.03,682.57,649.04,661.46,649.04,1870228800,11474200000,0,,
1996/5/13,1996/5/13,661.46,712.05,663.34,711.93,661.32,1829901900,11548200000,0,,
1996/5/20,1996/5/20,711.93,725.16,630.42,639.8,719.19,1856932400,12670900000,0,,
1996/5/27,1996/5/27,639.8,653.22,632.22,643.65,639.51,801975100,5494000000,0,,
1996/6/3,1996/6/3,643.65,739.43,636.45,727.34,643.95,2890685900,22116800000,0,,
1996/6/10,1996/6/10,727.34,790.31,736.98,777.27,740.1,4084237100,40254600000,0,,
1996/6/17,1996/6/17,777.27,814.2,748.56,796.1,779.71,2467603900,21627000000,0,,
1996/6/24,1996/6/24,796.1,819.76,762.13,804.25,797.86,1997880900,17760800000,0,,
1996/7/1,1996/7/1,804.25,796.98,753.71,785.37,773.79,2652943600,25099400000,0,,
1996/7/8,1996/7/8,785.37,825.24,779.03,796.41,794.12,2817304800,26713400000,0,,
1996/7/15,1996/7/15,796.41,857.07,780.15,856.92,794.88,2718387700,22131800000,0,,
1996/7/22,1996/7/22,856.92,894.72,840.2,845.12,871.47,3536785700,31470200000,0,,
1996/7/29,1996/7/29,845.12,865.5,814.88,838.87,846.18,1615211100,14439700000,0,,
1996/8/5,1996/8/5,838.87,880.3,838.59,871.6,846.03,2070194400,17078700000,0,,
1996/8/12,1996/8/12,871.6,894.85,838.41,853.87,880.13,1807134200,15064800000,0,,
